ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
DOM,Dominican Republic,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","13,074.43","13,341.20","13,561.01","14,071.39","14,912.89","15,791.32","16,684.41","17,301.38","18,334.61","19,090.48","17,652.97","19,165.81","20,044.74","20,869.56","21,719.84","22,602.34","23,515.24",2019
DOM,Dominican Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,688.75","6,063.35","6,274.87","6,413.93","6,805.66","7,139.51","7,521.27","7,874.94","8,340.96","8,595.61","7,553.51","8,491.62","9,158.02","9,732.88","10,338.38","10,984.13","11,664.19",2019
DOM,Dominican Republic,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","10,340.20","10,968.06","11,396.85","11,768.18","12,021.48","11,847.54","11,525.33","11,623.72","11,603.14","11,440.19","10,407.31","10,550.02","10,768.63","10,887.60","11,015.33","11,161.67","11,309.97",2020
ECU,Ecuador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,633.25","5,192.88","5,664.89","6,030.50","6,347.00","6,099.35","6,046.30","6,216.61","6,318.48","6,260.60","5,642.74","5,884.15","6,107.60","6,247.54","6,400.01","6,561.66","6,727.38",2020
ECU,Ecuador,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","10,766.92","10,711.91","10,684.91","10,763.74","10,796.83","10,990.31","11,215.98","11,158.25","11,521.27","11,940.25","12,123.99","12,282.44","12,669.98","13,120.48","13,599.50","14,102.02","14,624.09",2020
EGY,Egypt,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,922.80","3,077.34","3,379.01","3,404.34","3,520.36","3,731.18","3,653.67","2,484.54","2,577.27","3,056.98","3,600.84","3,851.75","4,176.60","4,449.80","4,718.11","5,004.58","5,329.68",2020
EGY,Egypt,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,328.72","7,575.63","7,754.69","7,892.45","7,990.45","8,143.22","8,309.43","8,454.05","8,614.01","8,795.45","8,056.96","8,740.51","9,005.01","9,170.00","9,329.34","9,472.88","9,595.53",2019
SLV,El Salvador,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,983.23","3,266.01","3,428.41","3,509.53","3,589.04","3,705.58","3,805.99","3,910.26","4,052.62","4,167.44","3,798.83","4,244.30","4,475.18","4,626.44","4,767.74","4,894.17","5,011.22",2019
SLV,El Salvador,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","34,459.66","35,113.41","36,410.00","33,450.83","32,231.18","28,149.29","24,698.80","22,449.90","20,309.55","18,446.49","16,967.78","17,110.71","15,653.01","14,959.50","14,376.84","13,576.88","12,916.61",2015
GNQ,Equatorial Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","17,153.17","21,480.00","21,556.42","20,252.75","19,271.29","11,217.99","9,202.54","9,624.53","9,968.09","8,394.42","7,136.81","8,625.76","8,058.55","7,886.88","7,846.44","7,722.70","7,689.31",2015
GNQ,Equatorial Guinea,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","1,437.02","1,781.74","1,795.24","1,592.33","2,066.02","1,624.28","1,726.77","1,537.45","1,717.68","1,761.13","1,725.91","1,749.02","1,802.90","1,838.16","1,874.51","1,911.78","1,950.55",2006
ERI,Eritrea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",501.424,642.502,693.804,596.754,786.54,603.193,655.424,557.857,580.845,566.731,587.684,625.974,678.248,711.158,740.695,770.957,802.921,2006
ERI,Eritrea,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
EST,Estonia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","26,078.19","28,057.35","29,066.95","29,596.01","30,548.74","31,113.33","32,085.78","33,903.13","35,181.98","36,488.52","35,341.82","38,335.63","39,946.42","41,437.17","42,871.03","44,278.54","45,741.41",2019
EST,Estonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,696.81","17,484.73","17,414.24","19,056.28","20,253.97","17,403.81","18,290.29","20,430.57","23,074.04","23,400.47","23,035.91","27,100.74","29,735.02","32,045.97","34,459.54","36,886.02","39,383.24",2019
EST,Estonia,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-8.276,-2.731,-1.58,-2.324,-1.674,-2.063,-1.4,1.1,2.037,2.099,-2.966,0.74,0.845,n/a,n/a,n/a,n/a,2020
SWZ,Eswatini,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,630.90","7,746.72","8,106.54","8,360.42","8,377.84","8,503.04","8,537.42","8,650.85","8,769.20","8,878.08","8,571.62","8,610.59","8,661.62","8,720.87","8,797.74","8,889.29","8,985.74",2017
SWZ,Eswatini,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,263.91","4,603.20","4,628.25","4,326.00","4,133.03","3,765.92","3,513.80","4,031.06","4,225.91","4,009.99","3,532.55","3,965.43","4,164.29","4,284.71","4,435.94","4,596.44","4,965.45",2017
SWZ,Eswatini,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","1,344.97","1,474.70","1,577.76","1,706.65","1,852.79","2,013.26","2,140.08","2,321.44","2,460.88","2,641.01","2,756.87","2,767.42",n/a,n/a,n/a,n/a,n/a,2016
ETH,Ethiopia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",360.829,379.381,493.321,535.264,613.101,702.767,790.82,829.313,852.011,968.253,994.197,939.511,n/a,n/a,n/a,n/a,n/a,2016
ETH,Ethiopia,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","10,677.56","10,913.84","11,015.61","11,482.90","12,069.63","12,557.20","12,751.06","13,316.59","13,748.05","13,611.33","11,407.73","10,891.31","11,502.28","12,383.56","13,106.79","13,619.74","14,000.48",2017
FJI,Fiji,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,004.67","4,797.05","5,017.72","5,268.16","5,611.19","5,385.52","5,620.58","6,049.89","6,272.73","6,142.93","4,995.16","5,127.44","5,507.13","6,053.59","6,548.09","6,954.05","7,305.72",2017
FJI,Fiji,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
FIN,Finland,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","45,985.68","46,947.79","46,069.13","45,439.77","45,069.68","45,145.07","46,282.74","47,621.51","48,079.42","48,682.99","47,220.44","48,577.22","49,982.19","50,736.51","51,387.73","52,060.14","52,748.65",2020
FIN,Finland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","46,647.00","51,263.57","47,850.56","50,006.02","50,434.79","42,867.09","43,865.76","46,437.21","50,033.31","48,716.22","48,786.03","53,522.57","56,832.60","59,545.36","62,432.40","65,676.15","68,389.28",2020
FIN,Finland,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.068,1.79,-0.167,-1.954,-3.023,-3.763,-2.435,-0.886,-1.043,-1.037,-4.312,-2.316,-0.257,n/a,n/a,n/a,n/a,2020
FRA,France,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","43,802.26","44,565.42","44,516.21","44,563.47","44,765.85","45,040.35","45,383.95","46,369.70","47,074.00","47,832.71","43,920.09","46,556.95","48,253.72","48,995.38","49,587.46","50,138.10","50,686.36",2020
FRA,France,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","42,100.29","45,378.30","42,348.74","44,130.83","44,545.72","37,918.77","38,332.68","40,053.62","43,021.38","41,989.67","40,298.85","45,028.27","47,952.13","49,974.95","51,873.76","53,661.16","55,393.83",2020
FRA,France,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-1.763,-0.728,-1.452,-1.975,-2.192,-2.393,-2.621,-1.528,-0.783,0,-4.324,-2.242,-0.203,0.02,0.035,0.015,0,2020
GAB,Gabon,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","14,540.64","15,001.76","15,211.48","15,446.71","15,566.74","15,652.46","15,579.43","15,302.64","15,222.29","15,608.06","15,122.58","15,152.96","15,551.37","15,856.25","16,201.28","16,564.39","16,955.19",2004
GAB,Gabon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","8,933.31","10,893.46","9,903.41","9,760.75","9,746.79","7,453.11","7,082.22","7,370.35","8,220.50","8,111.34","7,277.37","8,569.22","9,083.63","9,276.92","9,532.13","9,899.51","10,396.01",2004
GAB,Gabon,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
GMB,The Gambia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,346.72","2,091.82","2,135.75","2,131.43","2,038.80","2,058.66","2,036.87","2,072.65","2,158.07","2,225.31","2,156.02","2,194.90","2,258.67","2,335.31","2,414.55","2,480.43","2,542.75",2018
GMB,The Gambia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",860.639,762.761,742.78,700.515,607.429,649.511,683.998,676.656,729.035,768.921,769.661,819.22,846.506,893.571,942.071,995.044,"1,045.86",2018
GMB,The Gambia,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","9,701.58","10,488.00","11,263.37","11,736.20","12,262.41","12,616.58","12,959.86","13,595.58","14,241.75","14,975.81","14,078.31","15,181.60","16,036.41","16,910.51","17,807.30","18,748.70","19,739.02",2020
GEO,Georgia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,222.07","4,003.47","4,409.61","4,622.97","4,742.50","4,017.62","4,060.89","4,358.59","4,718.79","4,693.66","4,275.29","4,807.95","5,297.52","5,804.01","6,347.65","6,945.40","7,530.72",2020
GEO,Georgia,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
DEU,Germany,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","48,148.08","50,038.55","50,157.85","50,237.48","51,137.33","51,450.81","52,175.41","53,373.76","53,791.88","54,234.43","51,718.75","53,213.39","55,576.09","56,416.99","57,170.68","57,833.40","58,512.56",2020
DEU,Germany,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","42,379.71","46,697.38","43,883.39","46,299.37","48,035.80","41,107.22","42,124.45","44,636.70","47,995.38","46,800.18","46,215.60","50,787.86","54,653.00","57,208.89","59,728.20","62,235.56","64,800.87",2020
DEU,Germany,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-0.978,1.357,0.266,-0.813,-0.34,-0.343,0.148,0.998,0.82,0.386,-2.604,-2.013,-0.277,-0.207,-0.001,-0.001,-0.001,2020
GHA,Ghana,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","3,883.72","4,320.04","4,574.27","4,792.25","4,817.57","4,810.48","4,864.58","5,148.05","5,353.48","5,585.90","5,497.81","5,664.18","5,863.87","5,983.74","6,125.19","6,319.60","6,479.65",2018
GHA,Ghana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,757.03","2,131.73","2,197.89","2,405.78","2,003.71","1,784.25","1,982.24","2,086.60","2,275.77","2,265.71","2,225.51","2,413.10","2,556.51","2,666.59","2,787.11","2,919.42","3,053.53",2018
GHA,Ghana,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
GRC,Greece,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","33,699.99","30,268.44","28,218.53","27,651.44","28,040.21","28,101.52","28,156.57","28,558.30","29,076.49","29,662.12","27,231.04","29,119.08","30,586.29","31,521.68","32,214.40","32,838.29","33,386.94",2020
GRC,Greece,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","26,743.40","25,437.01","21,845.97","21,679.67","21,567.97","17,997.40","17,879.71","18,578.29","19,769.33","19,147.46","17,657.10","19,827.16","21,155.31","22,314.03","23,393.11","24,491.86","25,534.64",2020
GRC,Greece,Output gap in percent of potential GDP,Percent of potential GDP,,"See notes for:  Gross domestic product, constant prices (National currency).",-4.865,-12.163,-15.779,-15.644,-13.06,-11.962,-10.71,-8.418,-5.929,-3.67,-10.801,-5.585,-2.046,n/a,n/a,n/a,n/a,2020
GRD,Grenada,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","13,412.81","13,444.64","13,207.00","13,427.54","14,317.05","15,142.07","15,614.30","16,217.50","16,837.50","16,867.71","14,597.70","14,904.77","15,737.03","16,553.51","17,224.80","17,653.12","18,044.60",2019
GRD,Grenada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,258.18","7,291.74","7,444.08","7,789.62","8,370.03","9,096.54","9,628.26","10,152.83","10,466.81","10,608.38","9,130.37","9,575.34","10,194.01","10,878.13","11,568.88","12,117.26","12,658.32",2019
GRD,Grenada,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,133.32","7,291.73","7,362.64","7,460.46","7,631.78","7,783.18","7,832.25","7,912.49","8,012.34","8,156.23","7,872.15","8,139.52","8,336.28","8,476.44","8,598.19","8,721.68","8,846.95",2020
GTM,Guatemala,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,836.06","3,172.12","3,267.79","3,397.63","3,632.10","3,825.88","3,982.02","4,233.01","4,240.55","4,371.27","4,317.45","4,542.25","4,767.44","4,927.43","5,162.97","5,416.34","5,687.76",2020
GTM,Guatemala,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","1,753.17","1,804.23","1,862.57","1,887.61","1,908.83","1,933.44","2,090.40","2,249.56","2,334.24","2,405.89","2,513.54","2,579.10","2,674.43","2,762.77","2,845.22","2,918.97","3,002.02",2014
GIN,Guinea,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",630.549,540.562,637.79,712.977,728.729,712.049,679.964,796.038,891.887,991.735,"1,101.71","1,168.18","1,241.83","1,299.51","1,362.59","1,425.85","1,495.30",2014
GIN,Guinea,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,023.14","2,139.64","2,057.72","2,078.98","2,053.85","2,132.91","2,197.75","2,253.42","2,278.96","2,330.24","2,248.16","2,272.36","2,311.85","2,376.85","2,443.65","2,513.43","2,586.27",2017
GNB,Guinea-Bissau,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",644.344,775.206,688.497,711.927,712.826,707.897,748.089,864.141,866.451,810.558,789.856,858.04,907.339,972.935,"1,040.90","1,112.56","1,186.06",2017
GNB,Guinea-Bissau,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","9,765.39","10,255.49","10,743.81","11,092.42","11,235.19","11,268.17","11,601.86","11,964.64","12,426.25","13,052.24","18,671.30","22,414.60","33,232.90","43,763.20","45,191.94","46,745.01","48,348.92",2019
GUY,Guyana,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,837.30","4,402.78","5,360.28","5,476.74","5,402.70","5,579.97","5,796.82","6,104.16","6,120.54","6,594.38","6,952.70","9,369.01","12,426.39","15,152.58","15,767.57","16,563.39","17,509.34",2019
GUY,Guyana,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","2,861.82","2,959.86","2,927.62","3,006.30","3,010.72","3,040.86","3,049.52","3,079.71","3,085.33","2,989.79","2,849.17","2,790.52","2,789.42","2,788.32","2,787.22","2,788.87","2,790.52",2003
HTI,Haiti,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,175.20","1,269.35","1,316.50","1,408.81","1,408.67","1,359.21","1,263.43","1,337.16","1,441.86","1,277.21","1,235.48","1,691.83","1,560.23","1,619.04","1,650.35","1,696.40","1,745.55",2003
HTI,Haiti,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
HND,Honduras,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","4,866.98","4,956.40","5,065.46","5,113.46","5,177.41","5,283.41","5,394.33","5,557.93","5,671.99","5,721.95","5,119.06","5,277.19","5,411.68","5,506.51","5,608.43","5,717.74","5,840.41",2019
HND,Honduras,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,904.35","2,088.31","2,144.34","2,102.60","2,206.06","2,302.20","2,342.02","2,451.94","2,506.62","2,567.97","2,396.69","2,602.17","2,712.44","2,821.80","2,935.21","3,057.54","3,191.61",2019
HND,Honduras,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
HKG,Hong Kong SAR,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","51,157.77","53,187.93","53,628.40","54,985.76","56,177.47","57,071.92","57,777.35","59,676.48","60,774.21","59,480.04","56,558.40","59,850.85","61,598.96","63,162.81","64,598.80","66,010.98","67,494.94",2020
HKG,Hong Kong SAR,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","32,421.36","34,955.15","36,623.75","38,233.35","40,185.30","42,325.35","43,491.31","46,032.29","48,313.14","48,268.22","46,657.20","49,485.08","51,895.03","54,237.70","56,619.57","59,126.85","61,800.65",2020
HKG,Hong Kong SAR,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","24,697.34","25,246.35","25,033.16","25,558.15","26,725.30","27,805.17","28,475.32","29,801.55","31,474.99","32,952.69","31,328.93","33,720.28","35,450.89","36,809.33","37,998.89","38,998.83","40,025.09",2020
HUN,Hungary,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,173.21","14,195.85","12,935.51","13,665.53","14,251.80","12,690.17","13,069.23","14,590.90","16,407.35","16,729.13","15,866.22","18,527.59","20,380.16","22,174.26","23,863.29","25,422.59","26,975.87",2020
HUN,Hungary,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","47,919.36","48,677.90","49,022.77","50,891.12","51,143.68","52,856.27","55,608.74","56,944.80","57,999.18","57,989.93","53,154.76","54,236.59","55,592.45","56,792.07","57,398.96","58,811.54","60,232.49",2018
ISL,Iceland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","43,293.02","47,798.81","46,159.80","50,100.08","54,864.16","53,227.63","62,530.42","73,085.13","75,382.60","69,631.27","59,643.09","68,843.65","72,317.58","73,881.65","76,323.21","80,325.24","84,467.26",2018
ISL,Iceland,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
IND,India,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","4,179.50","4,399.89","4,583.17","4,818.51","5,116.61","5,464.39","5,851.43","6,183.00","6,518.97","6,708.12","6,172.05","6,693.18","7,195.37","7,597.67","8,003.32","8,424.50","8,861.15",2013
IND,India,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,384.17","1,458.11","1,443.88","1,449.61","1,573.88","1,605.61","1,732.05","1,980.69","1,996.95","2,098.93","1,929.68","2,116.44","2,312.90","2,478.62","2,649.21","2,829.65","3,018.10",2013
IND,India,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","8,432.94","8,792.32","9,192.04","9,570.56","9,916.34","10,260.61","10,655.77","11,073.52","11,522.78","11,976.32","11,585.57","11,866.41","12,451.86","13,120.40","13,726.48","14,326.86","14,945.44",2020
IDN,Indonesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,178.13","3,688.53","3,744.53","3,684.00","3,533.61","3,367.69","3,605.72","3,885.47","3,947.25","4,196.30","3,921.62","4,224.98","4,538.15","4,888.90","5,205.48","5,529.56","5,870.63",2020
IDN,Indonesia,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
IRN,Islamic Republic of Iran,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","13,732.19","13,909.38","12,723.50","12,549.60","12,871.66","12,540.88","14,046.99","14,402.19","13,380.45","12,336.98","12,622.45","12,805.18","12,931.34","13,058.92","13,188.04","13,317.88","13,449.18",2019
IRN,Islamic Republic of Iran,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,564.06","7,719.43","5,159.20","5,199.85","5,519.14","4,844.50","5,195.91","5,471.79","5,543.90","6,980.74","9,928.19","12,725.04","13,243.34","13,716.84","14,218.14","14,739.10","15,274.04",2019
IRN,Islamic Republic of Iran,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","8,637.55","9,056.08","10,059.04","10,554.47","10,151.67","10,346.33","11,603.67","10,916.39","11,134.60","11,483.07","9,434.77","9,531.07","10,265.33","10,575.92","10,655.04","10,705.87","10,756.81",2013
IRQ,Iraq,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,473.71","5,848.54","6,692.58","7,021.41","6,704.31","5,044.62","4,637.00","5,178.92","5,950.83","5,981.10","4,223.22","4,892.96","5,364.25","5,536.84","5,655.36","5,787.45","5,935.15",2013
IRQ,Iraq,Output gap in percent of potential GDP,Percent of potential GDP,,,,,,,,,,,,,,,,,,,,
IRL,Ireland,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","53,096.46","53,468.55","53,206.16","53,581.20","57,789.66","71,625.06","72,207.74","77,779.91","83,751.48","86,729.41","91,009.73","101,905.47","104,517.91","107,606.54","109,687.83","111,799.54","113,912.69",2020
IRL,Ireland,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","48,612.20","52,116.93","49,000.81","51,459.00","55,499.03","61,861.20","62,632.81","69,486.55","78,837.74","80,632.33","85,205.50","102,394.02","108,162.69","114,839.26","121,081.09","127,640.06","134,412.12",2020
